,title,authors,type,year_correct,year_number,collected_by,number_authors
1238,Bibliothekarische Klassifikationssysteme im semantischen Web : zu Chancen und Problemen von Linked-Data-Repräsentationen ausgewählter Klassifikationssysteme,['Mirko Hanke'],Publication,True,2014,Fabian,1
1239,Zukunftslabor Kinder- und Jugendbibliothek: Visionen 2030 und Herausforderungen für die Gegenwart,['Kerstin Keller-Loibl'],Publication,True,2019,Fabian,1
1240,Vorläufer der Internationalen Katalogisierungsprinzipien,['Anna Kasprzik'],Publication,True,2014,Fabian,1
1241,Automatisierte und semiautomatisierte Klassifizierung : eine Analyse aktueller Projekte,['Anna Kasprzik'],Publication,True,2014,Fabian,1
1242,Die Bibliothek des Kardinals Giovanni d'Aragona (1456 - 1485): illuminierte Handschriften und Inkunabeln für einen humanistischen Bibliophilen zwischen Neapel und Rom,['Thomas Haffner'],Publication,True,1994,Fabian,1
1243,Open Access und Lizenzierung am Beispiel der Allianz-Lizenzen,['Mirjam Blümm'],Publication,True,2012,Fabian,1
1244,Objektbeschreibende Metadaten in der Deutschen Digitalen Bibliothek : Analyse der Eignung als Informationsfilter im Retrieval,['Francesca Schulze'],Publication,True,2020,Fabian,1
1245,RFID-Technology für die Bibliothek der Zukunft,['Birgit Lindel'],Publication,True,2004,Fabian,1
1246,Die Bibliothek der Sielklär-Versuchsstation Hamburg-Eppendorf,['Thomas Hapke'],Publication,True,1993,Fabian,1
1247,Die Bibliothek als Speichersystem des kulturellen Gedächtnisses,['Tanja Heber'],Publication,True,2009,Fabian,1
1248,"Reclam Universal-Bibliothek, Nr.12, Wilhelm Tell",['Friedrich von Schiller'],Publication,True,2000,Fabian,1
1249,Erfolgreiche Kommunikation mit Kunden in der Bibliothek,['Christiane Brockerhoff'],Publication,True,2012,Fabian,1
1250,Quellenuntersuchung zum 1. Buch der Apollodorschen Bibliothek,['Anna Söder'],Publication,True,1939,Fabian,1
1251,"Bibliothek, Information und Dokumentation in der Wikipedia","['Patrick Danowski', 'Jakob Voß']",Publication,True,2004,Fabian,2
1252,myDMG-Lib - personalisierter Informationsraum einer digitalen Bibliothek.,"['Rike Brecht', 'Bastian Büchl', 'Heidi Krömker']",Publication,True,2007,Fabian,3
1253,Elektronische Zeitschriften in der Bibliothek der Zukunft,['Thomas Hapke'],Publication,True,1995,Fabian,1
1254,Von vier Haussystematiken zu einer Verbundklassifikation: Überlegungen zur Reklassifizierung der Bibliothek des Germanistischen Instituts der WWU Münster,['Viola Voß'],Publication,True,2013,Fabian,1
1256,Ein neues Aufgabenfeld für Bibliotheken? Virtuelle Forschungsumgebungen in den Naturwissenschaften am Beispiel des Fachs Physik,['Jochen Apel'],Publication,True,2012,Fabian,1
1257,"Die Bibliothek der Weltliteratur. Ausgewählt von Markus Finkbeiner und Thomas Hafki (Digitale Bibliothek 89). Berlin: Directmedia 2004, CD-ROM.","['Hendrik Birus', 'Sebastian Donat']",Publication,True,2004,Fabian,2
1258,Weltanschauung als verlegerische Aufgabe: der Otto-Reichl-Verlag 1909 - 1954 ; mit einer Bibliographie der Verlage von Otto Reichl und der Deutschen Bibliothek,['Thomas Seng'],Publication,True,1993,Fabian,1
1259,Friedrich Nicolais Allgemeine deutsche Bibliothek (Ihre äußere Geschichte),['Guenter Ost'],Publication,True,1928,Fabian,1
1260,OOAD-Entwicklungsprozess einer Modelica-Bibliothek für vernetzte Automatisierungssysteme.,"['Liu Liu', 'Georg Frey']",Publication,True,2013,Fabian,2
1261,Ressourcenplanung unter Nutzung der Java-Constraint-Bibliothek firstCS.,['Saskia Sandow'],Publication,True,2011,Fabian,1
1262,Digitale Welt und Wissenschaftliche Bibliothek - Informationspraxis im Wandel,['Wilfried Sühl-Strohmenger'],Publication,True,2008,Fabian,1
1263,Europeana: Die Europäische Digitale Bibliothek - Entwicklungen und Perspektiven,['Britta Woldering'],Publication,True,2008,Fabian,1
1264,Das neue Fortbildungsportal für Bibliothek und Information -- www.wissenbringtweiter.de,"['Heike Ditlevsen', 'Bettina Fischer']",Publication,True,2005,Fabian,2
1265,Die Welt der Bücher - eine Geschichte der Bibliothek,['Matthew Battles'],Publication,True,2012,Fabian,1
1266,Zum Aufbau einer vollständigen Gen-Bibliothek des Haushuhns,['Sigrid Schüler-Juckenack'],Publication,True,1988,Fabian,1
1267,Digitales Datenmanagement als neue Aufgabe für wissenschaftliche Bibliotheken,"['Heike Neuroth', 'Laura Rothfritz', 'Vivien Petras', 'Maxi Kindling']",Publication,True,2019,Fabian,4
1268,"Rezepte zur Nachhaltigkeit: Vielfältige Ideen zur ""Grünen Bibliothek"". Pun, Raymond; Shaffer, Gary L. (eds.), The Sustainable Library's Cookbook (2019): Rezension",['Petra Hauke'],Publication,True,2020,Fabian,1
1269,Data EDUcation an der UDE – Eine OER für Bibliotheken,"['Christina Kläre', 'Kim-Sarah Jung']",Publication,True,2019,Fabian,2
1270,Aussonderungen an Universitätsbibliotheken – Ein Literaturüberblick und eine explorative Fallstudie zum agrarwissenschaftlichen Bestand der Bibliothek der Humboldt-Universität zu Berlin,['Roland Wagner'],Publication,True,2012,Fabian,1
1271,Fernsehsendungen aufzeichnen. (Fast) freie Bahn zur privaten Bibliothek,['Matthias Spielkamp'],Publication,True,2008,Fabian,1
1272,Erschließung einer Rechenzentrums-Bibliothek mit EDV-erstellten Katalogen.,['Dirk Kottke'],Publication,True,1981,Fabian,1
1273,Das neue Fortbildungsportal für Bibliothek und Information – www.wissenbringtweiter.de,"['Heike Ditlevsen', 'Bettina Fischer']",Publication,True,2005,Fabian,2
1275,Scriptorium und Bibliothek des Klosters Michelsberg in Bamberg,['Karin Dengler-Schreiber'],Publication,True,1974,Fabian,1
1276,Die Öffentliche Bibliothek als realer und virtueller Ort,"['Conny Äng', 'Henk Das', 'Allison Dobbie', 'Susan Kent']",Publication,True,2001,Fabian,4
1277,Bibliothek 2.0 - Notwendigkeit und Möglichkeiten neuer bibliothekarischer Dienstleitungen,['Lutz-Frieder Schützler'],Publication,True,2008,Fabian,1
1279,Kommentierter Katalog der nachgelassenen Bibliothek von Johannes Bobrowski,['Dalia Bukauskait'],Publication,True,2006,Fabian,1
1280,Auskunft 2.0: Vom Wie und Wo der bibliothekarischen Antwort im Web 2.0,['Anne Christensen'],Publication,True,2007,Fabian,1
1282,Eine Bibliothek für Babel: Maßstäbe einer Spezialbibliothek für literarische Übersetzer ; eine empirische Untersuchung zu den Informationsbedürfnissen von Literaturübersetzern unter besonderer Berücksichtigung sachlich-inhaltlicher Informationsdefizite,['Regina Peeters'],Publication,True,2002,Fabian,1
1286,Community Building als Mission: Öffentliche Bibliotheken als Ermöglicher,['Tim Schumann'],Publication,True,2019,Fabian,1
1287,"Von Bienen und Blumen: ""Wissen wächst"" in der Zentralbibliothek der Städtischen Bibliotheken Dresden",['Lena Schulz'],Publication,True,2022,Fabian,1
1288,Zukunft der Informationsinfrastrukturen: Das deutsche Bibliothekswesen im digitalen Zeitalter,['Bastian Drees'],Publication,True,2016,Fabian,1
1289,Veröffentlichungen und Dokumente der EG eingegangen in der Bibliothek,[' ?'],Publication,True,1987,Fabian,1
1290,Entwicklung einer Bibliothek zur service-orientierten Modellierung von Ontologien,['Christian May'],Publication,True,2009,Fabian,1
1291,Dimensionen der Zeitschriftenszientometrie am Beispiel von „Buch und Bibliothek“,"['Kerstin Juchem', 'Christian Schlögl', 'Wolfgang G. Stock']",Publication,True,2006,Fabian,3
1292,Laufzeitoptimierte VHDL Bibliothek zur Verifikation und Simulation Kryptographischer Prozessoren.,"['Mathias Schmalisch', 'Hagen Ploog', 'Dirk Timmermann']",Publication,True,2002,Fabian,3
1293,Kultur im Wissensnetz - Die Architektur der Deutschen Digitalen Bibliothek.,"['Kai Stalmann', 'Reinhard Budde', 'Robert Mertens', 'Christoph Tornau', 'Dennis Wegener', 'Volker Heydegger', 'Thorsten Wunderlich', 'Bernd Ingenbleek', 'Florian Schulz']",Publication,True,2011,Fabian,9
1295,Entwurf und Entwicklung einer objektorientierten Bibliothek für algorithmische Zahlentheorie,['Thomas Papanikolaou'],Publication,True,1997,Fabian,1
1296,Konstruktion einer cDNS-Bibliothek der humanen Magenkarzinomzellreihe 23132/87,['Dorothea Franke'],Publication,True,2000,Fabian,1
1297,Was ist eine Bibliothek? Physische Bibliotheken im digitalen Zeitalter,['Achim Bonte'],Publication,True,2015,Fabian,1
1298,10 Jahre ECCC - Eine Digitale Bibliothek in weltweiter Benutzung,"['Volker Klotz', 'Christoph Meinel']",Publication,True,2004,Fabian,2
1299,Datenbasis und Bibliothek für ein Programmiersystem für speicherprogrammierbare Steuerungen,['Maik Köhler'],Publication,True,1993,Fabian,1
